Country Code,Country Name,Continent Code,AG.LND.ARBL.ZS,AG.LND.PRCP.MM,BN.CAB.XOKA.GD.ZS,CM.MKT.LCAP.GD.ZS,EG.GDP.PUSE.KO.PP,EN.POP.DNST,FB.BNK.CAPA.ZS,FR.INR.RINR,GC.NLD.TOTL.GD.ZS,IC.FRM.BRIB.ZS,IC.IMP.TMDC
MOZ,Mozambique,AF,7.184821588,1032,-40.32763542,0,0,34.38795748,0,10.04501801,0,21.1,24
MRT,Mauritania,AF,0.436596488,92,-19.78142696,0,0,3.925779567,0,22.98452554,0,28.9,150
MUS,Mauritius,AF,36.94581281,2041,-3.566320387,61.90876053,0,621.9729064,10.5199815,7.467457293,-0.853140454,3.9,9
MWI,Malawi,AF,40.30547306,1181,-14.59614277,0,0,177.6124629,16.52445178,19.78896166,-4.447221868,24.2,63
MYS,Malaysia,AS,2.511976861,2875,3.056785339,129.1064759,0,92.13502359,10.45914083,4.970313148,-3.151041119,28.2,10
NAM,Namibia,AF,0.971711062,285,-13.7171839,16.40508393,0,2.81177228,11.36194593,7.231062897,-8.221877469,9.1,3
NCL,New Caledonia,OC,0.341356661,0,0,0,0,14.90153173,0,0,0,0,0
NER,Niger,AF,13.26280887,151,-20.58308722,0,0,15.79037104,0,4.575000139,0,18.5,156
NGA,Nigeria,AF,37.33104955,1150,-3.238922043,10.1042417,0,198.8838543,12.37567547,13.59615325,0,28.9,172.7
NIC,Nicaragua,NO,12.49792255,2280,-8.974879438,0,0,51.71381087,7.669686967,4.149021404,-0.62438597,8.6,16
NLD,Netherlands,EU,30.66191748,778,6.337834713,95.19390379,11.88319078,502.8175423,5.555060361,0,-1.840993148,0,1
NOR,Norway,EU,2.210597517,1414,8.044619468,50.14591003,10.40284494,14.21057257,0,0,6.373271552,0,2
NPL,Nepal,AS,14.74502931,1500,11.42706356,0,0,188.4550471,0,0,1.057560754,15.1,48
NRU,Nauru,OC,0,285,0,0,0,623.75,0,0,-1.112181219,0,0
NZL,New Zealand,OC,2.271087312,1732,-2.746701139,41.95660112,8.431382356,17.45357184,0,4.37166309,0.260909593,0,1
OMN,Oman,AS,0.168529886,125,-15.8934517,59.66671647,0,13.78787722,0,29.2248282,0,0,24
PAK,Pakistan,AS,39.43545039,494,-1.026034795,24.42019361,0,258.7003995,8.417918857,5.806908292,0,30.8,152.6
PAN,Panama,NO,7.573311811,2928,-8.963297511,24.3555111,0,53.38292978,10.16602664,4.856794215,0,7.1,6
PER,Peru,SA,2.46484375,1738,-4.832176815,29.80394015,0,23.80526094,10.08672692,13.20483511,-2.929687246,17.6,72
PHL,Philippines,AS,18.74769427,2348,2.481666916,81.57140294,0,342.4664185,9.987385514,6.201198261,-1.334307531,25.6,96
PLW,Palau,OC,2.173913043,494,-8.271561451,0,0,38.40217391,0,0,4.922824811,0,96
PNG,Papua New Guinea,OC,0.662456388,3142,20.87372104,0,0,17.90349115,13.30859685,13.10611244,-5.105408822,26.4,120
POL,Poland,EU,35.5563539,600,-0.556768393,28.84759218,10.78467425,124.0615696,9.369700172,0,-2.650297629,8.2,1
